;date;serial_number;model;capacity_bytes;Throughput Performance;Spin-Up Time;Start/Stop Count;Reallocated Sectors Count;Seek Error Rate;Seek Time Performance;Power-On Hours;Spin Retry Count;Recalibration Retriesor Calibration Retry Count;Power Cycle Count;Soft Read Error Rate;smart_15;Current Helium Level;SATA Downshift Error Count or Runtime Bad Block;End-to-End error / IOEDC;Reported Uncorrectable Errors;Command Timeout;High Fly Writes;Temperature Difference or Airflow Temperature;G-sense Error Rate;Power-off Retract Count, Emergency Retract Cycle Count(Fujitsu)or Unsafe Shutdown Count;Load Cycle Count or Load/Unload Cycle Count (Fujitsu);Temperature or Temperature Celsius;Hardware ECC Recovered;Reallocation Event Count;Current Pending Sector Count;(Offline) Uncorrectable Sector Count;UltraDMA CRC Error Count;Write Error Rate(Fujitsu);Soft Read Error Rateor;Disk Shift;Loaded Hours;Load/Unload Retry Count;Load Friction;Load/Unload Cycle Count;Load In-time;Head Flying Hours or 'Transfer Error Rate'(Fujitsu);Total LBAs Written;Total LBAs Read;Read Error Retry Rate;Minimum Spares Remaining;Newly Added Bad Flash Block;Free Fall Protection;Read Error Rate
36;2016-12-26;WD-WMC4N2816989;WDC WD30EFRX;3,00059E+12;NA;181;100;200;100;NA;74;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;200;125;NA;200;200;100;200;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;173,3036116
37;2016-12-26;Z30111PC;ST4000DM000;4,00079E+12;NA;91;100;100;80;NA;72;100;NA;100;NA;NA;NA;100;100;100;100;96;73;100;100;13;27;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;119
38;2016-12-26;Z303Z6S1;ST4000DM000;4,00079E+12;NA;96;100;100;77;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;77;100;100;99;23;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
39;2016-12-26;Z304EZL5;ST4000DM000;4,00079E+12;NA;92;100;100;78;NA;98;100;NA;100;NA;NA;NA;100;100;100;100;100;77;100;100;100;23;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;115
40;2016-12-26;W301D5NF;ST4000DM000;4,00079E+12;NA;92;100;100;75;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;69;100;100;100;31;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
41;2016-12-26;S300Z3ZL;ST4000DM000;4,00079E+12;NA;95;100;100;87;NA;86;100;NA;100;NA;NA;NA;100;100;100;100;100;77;100;100;77;23;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;22,16518215
42;2016-12-26;WD-WCC4N3NZ451J;WDC WD30EFRX;3,00059E+12;NA;185;100;200;200;NA;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;200;122;NA;200;200;100;200;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;170,0488345
43;2016-12-26;Z302BMWF;ST4000DM000;4,00079E+12;NA;97;100;100;79;NA;98;100;NA;100;NA;NA;NA;100;100;100;100;100;75;100;100;98;25;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
44;2016-12-26;Z300GYMW;ST4000DM000;4,00079E+12;NA;92;100;100;90;NA;67;100;NA;100;NA;NA;NA;100;100;97;100;99;77;100;100;95;23;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;99
45;2016-12-26;Z3014A8C;ST4000DM000;4,00079E+12;NA;91;100;100;88;NA;71;100;NA;100;NA;NA;NA;100;100;100;100;79;75;100;100;87;25;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;114
46;2016-12-26;Z3029ZHR;ST4000DM000;4,00079E+12;NA;96;100;100;74;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;70;100;100;100;30;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
47;2016-12-26;Z1Z03G2H;ST4000DX000;4,00079E+12;NA;90;100;100;87;NA;62;100;NA;100;NA;NA;NA;100;100;100;100;100;69;100;100;100;31;29;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;114
48;2016-12-26;Z3041LKP;ST4000DM000;4,00079E+12;NA;93;100;100;78;NA;98;100;NA;100;NA;NA;NA;100;100;100;100;100;73;100;100;100;27;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
49;2016-12-26;ZA10QN09;ST8000DM002;8,00156E+12;NA;98;100;100;90;NA;95;100;NA;100;NA;NA;NA;NA;100;100;100;100;62;97;100;100;38;1;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;74
50;2016-12-26;S2ZYJ9GF302353;ST500LM012 HN;5,00108E+11;252;93;100;252;252;252;100;252;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;252;252;NA;64;100;252;252;252;200;100;NA;NA;NA;100;NA;81;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;2016-12-26;PL1331LAHD0JSH;HGST HMS5C4040BLE640;4,00079E+12;134;156;100;100;100;111;100;100;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;206;NA;100;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
52;2016-12-26;MJ0351YNGA62NA;Hitachi HDS5C3030ALA630;3,00059E+12;135;126;100;100;100;122;95;100;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;206;NA;100;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;83
53;2016-12-26;Z302A0Z1;ST4000DM000;4,00079E+12;NA;92;100;100;89;NA;82;100;NA;100;NA;NA;NA;100;100;100;100;100;75;100;100;96;25;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;109
54;2016-12-26;S301LJ5G;ST4000DM000;4,00079E+12;NA;95;100;100;84;NA;93;100;NA;100;NA;NA;NA;100;100;100;100;100;69;100;100;97;31;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;114
55;2016-12-26;Z300ZR58;ST4000DM000;4,00079E+12;NA;91;100;100;72;NA;72;100;NA;100;NA;NA;NA;99;100;99;100;81;75;100;100;92;25;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;117
56;2016-12-26;Z300ZV0C;ST4000DM000;4,00079E+12;NA;95;100;100;87;NA;84;100;NA;100;NA;NA;NA;100;100;100;100;100;79;100;100;89;21;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;118
57;2016-12-26;ZA12PTR5;ST8000DM002;8,00156E+12;NA;99;100;100;87;NA;98;100;NA;100;NA;NA;NA;NA;100;100;100;100;56;100;100;100;44;2;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;175,1224408
58;2016-12-26;Z305D4X6;ST4000DM000;4,00079E+12;NA;96;100;100;84;NA;92;100;NA;100;NA;NA;NA;100;100;100;100;100;72;100;100;96;28;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;120
59;2016-12-26;Z302EPA7;ST4000DM000;4,00079E+12;NA;93;100;100;75;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;78;100;100;93;22;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;118
60;2016-12-26;W300D55C;ST4000DM000;4,00079E+12;NA;91;100;100;78;NA;65;100;NA;100;NA;NA;NA;100;100;96;100;99;75;100;100;87;25;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;111
61;2016-12-27;W3015JSX;ST4000DM000;4,00079E+12;NA;92;100;100;75;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;68;100;100;100;32;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
62;2016-12-27;ZA10Q2F7;ST8000DM002;8,00156E+12;NA;96;100;100;86;NA;95;100;NA;100;NA;NA;NA;NA;100;100;100;100;69;100;100;100;31;1;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;71
63;2016-12-27;9VYC10JY;ST3160316AS;1,60042E+11;NA;97;100;100;87;NA;46;100;NA;100;NA;NA;NA;100;100;100;100;100;76;NA;NA;NA;24;66;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;99
64;2016-12-27;WD-WXU1E83UUNF8;WDC WD5000LPVX;5,00108E+11;NA;152;100;200;200;NA;68;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;114;113;NA;200;200;100;200;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
65;2016-12-27;Z30111PC;ST4000DM000;4,00079E+12;NA;91;100;100;80;NA;72;100;NA;100;NA;NA;NA;100;100;100;100;96;73;100;100;12;27;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;120
66;2016-12-27;Z303Z6S1;ST4000DM000;4,00079E+12;NA;96;100;100;77;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;77;100;100;99;23;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;117
67;2016-12-27;Z304EZL5;ST4000DM000;4,00079E+12;NA;92;100;100;78;NA;98;100;NA;100;NA;NA;NA;100;100;100;100;100;77;100;100;100;23;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
68;2016-12-27;W301D5NF;ST4000DM000;4,00079E+12;NA;92;100;100;75;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;69;100;100;100;31;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
69;2016-12-27;S300Z3ZL;ST4000DM000;4,00079E+12;NA;95;100;100;87;NA;86;100;NA;100;NA;NA;NA;100;100;100;100;100;76;100;100;77;24;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;110
70;2016-12-27;Z302BMWF;ST4000DM000;4,00079E+12;NA;97;100;100;79;NA;98;100;NA;100;NA;NA;NA;100;100;100;100;100;76;100;100;98;24;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
71;2016-12-27;Z3014A8C;ST4000DM000;4,00079E+12;NA;91;100;100;88;NA;71;100;NA;100;NA;NA;NA;100;100;100;100;79;76;100;100;87;24;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;116
72;2016-12-27;Z3029ZHR;ST4000DM000;4,00079E+12;NA;96;100;100;74;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;70;100;100;100;30;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;115
73;2016-12-27;Z1Z03G2H;ST4000DX000;4,00079E+12;NA;90;100;100;87;NA;62;100;NA;100;NA;NA;NA;100;100;100;100;100;69;100;100;100;31;28;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;119
74;2016-12-27;Z3041LKP;ST4000DM000;4,00079E+12;NA;93;100;100;78;NA;98;100;NA;100;NA;NA;NA;100;100;100;100;100;73;100;100;100;27;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
75;2016-12-27;ZA10QN09;ST8000DM002;8,00156E+12;NA;98;100;100;90;NA;95;100;NA;100;NA;NA;NA;NA;100;100;100;100;62;97;100;100;38;1;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;79
76;2016-12-27;S2ZYJ9GF302353;ST500LM012 HN;5,00108E+11;252;93;100;252;252;252;100;252;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;252;252;NA;64;100;252;252;252;200;100;NA;NA;NA;100;NA;81;NA;NA;NA;NA;NA;NA;NA;NA;NA
77;2016-12-27;PL1331LAHD0JSH;HGST HMS5C4040BLE640;4,00079E+12;134;156;100;100;100;113;100;100;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;206;NA;100;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
78;2016-12-27;MJ0351YNGA62NA;Hitachi HDS5C3030ALA630;3,00059E+12;135;126;100;100;100;122;95;100;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;214;NA;100;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80
79;2016-12-27;Z302A0Z1;ST4000DM000;4,00079E+12;NA;92;100;100;89;NA;82;100;NA;100;NA;NA;NA;100;100;98;100;100;75;100;100;96;25;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;105
80;2016-12-27;S301LJ5G;ST4000DM000;4,00079E+12;NA;95;100;100;84;NA;93;100;NA;100;NA;NA;NA;100;100;100;100;100;69;100;100;97;31;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;117
81;2016-12-27;Z300ZR58;ST4000DM000;4,00079E+12;NA;91;100;100;71;NA;72;100;NA;100;NA;NA;NA;99;100;99;100;81;75;100;100;92;25;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;119
82;2016-12-27;Z300ZV0C;ST4000DM000;4,00079E+12;NA;95;100;100;87;NA;84;100;NA;100;NA;NA;NA;100;100;100;100;100;79;100;100;89;21;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;117
83;2016-12-27;Z305D4X6;ST4000DM000;4,00079E+12;NA;96;100;100;84;NA;92;100;NA;100;NA;NA;NA;100;100;100;100;100;72;100;100;96;28;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;115
84;2016-12-27;Z302EPA7;ST4000DM000;4,00079E+12;NA;93;100;100;75;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;77;100;100;92;23;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
85;2016-12-27;W300D55C;ST4000DM000;4,00079E+12;NA;91;100;100;78;NA;65;100;NA;100;NA;NA;NA;100;100;96;100;99;75;100;100;86;25;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;114
86;2016-12-28;W3015JSX;ST4000DM000;4,00079E+12;NA;92;100;100;75;NA;99;100;NA;100;NA;NA;NA;100;100;100;100;100;68;100;100;100;32;NA;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
87;2016-12-28;ZA10Q2F7;ST8000DM002;8,00156E+12;NA;96;100;100;86;NA;95;100;NA;100;NA;NA;NA;NA;100;100;100;100;69;100;100;100;31;1;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;72
88;2016-12-28;9VYC10JY;ST3160316AS;1,60042E+11;NA;97;100;100;87;NA;46;100;NA;100;NA;NA;NA;100;100;100;100;100;74;NA;NA;NA;26;61;NA;100;100;200;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA;NA;NA;NA;NA
